Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
9/10/2022,New York,NY,Jose Rodriguez (40) died in fall while installing ceiling beams.,1622593,Federal,Yes
9/9/2022,Lodi,NJ,Jose Rosalio Vargas Garcia (44) died in fall from scissor lift.,1620911,Federal,No
9/9/2022,Mc Cook,IL,Jose Manuel Anda Ayala (48) died in fall from storage rack.,1621376,Federal,Yes
9/8/2022,Columbus,OH,Cole Greenland (20) drowned in retention pond.,1620746,Federal,No
9/8/2022,Harrisonville,MO,Bobby Brunner (68) fatally struck by forklift.,1621159,Federal,Yes
9/8/2022,Mira Loma,CA,Luis Vences (54) died from heat exposure.,1621493,State,Yes
9/8/2022,Odessa,TX,Ivan Banuelos (34) fatally struck by pump jack.,1620681,Federal,Yes
9/7/2022,Aurora,IL,Elijah Puckett (39) died in fall from ladder.,1623210,Federal,No
9/7/2022,Brooklyn,NY,Wilson Viniscio Sancho Peralta (41) electricuted by outlet.,1621208,Federal,No
9/7/2022,Huntsville,AL,Robert Jason Philyaw (41) electrocuted by contact with wiring.,1620466,Federal,Yes
9/7/2022,San Leandro,CA,John Mendez (60) fatally shot by robber.,1622065,State,No
9/7/2022,Woodside,CA,Jose Carbajal (40) fatally struck by equipment while cutting tree branch.,1620035,State,Yes
9/6/2022,Austin,TX,Oscar Garza (66) died in fall from ladder.,1620494,Federal,No
9/6/2022,Pharr,TX,Cireon Scannell (50) fatally crushed by trailer chasis.,1620582,Federal,No
9/6/2022,Riverside,CA,Baltazar Flores (44) fatally struck by gate.,1621875,State,Yes
9/6/2022,Saratoga Springs,UT,Justin Garrison (33) fatally crushed under vehicle while performing maintenance.,1620032,State,No
9/5/2022,Brainerd,MN,Alan Garcia (30) drowned while swimming in lake.,1620530,State,No
9/5/2022,Seabrook Island,SC,Mario Carrill-Figuroa (44) died in fall from roof.,1621404,State,Yes
9/2/2022,Belleville,IL,Mark Mattern (59) fatally crushed by hydraulic mold.,1619284,Federal,Yes
9/2/2022,Daytona Beach,FL,Patrick McGuire (59) fatally struck by motor vehicle.,1619595,Federal,No
9/2/2022,Florien,LA,Jose Garcia (28) died in fall from cell tower.,1623894,Federal,No
9/2/2022,Houston,TX,Delmy Recinos (43) fatally struck by forklift.,1619688,Federal,Yes
9/2/2022,Moreno Valley,CA,Eric McClellan (58) fatlly injured by baler machine.,1619724,State,Yes
9/2/2022,Rowland Heights,CA,Lily Lam (63) fatally injured in fall on the ground.,1621400,State,No
9/1/2022,Forest,MS,Jasper Beckham (27) fatally crushed by spot welding robot.,1619852,Federal,Yes
9/1/2022,Kimberling City,MO,Jeff Kyger (57) died in fall from ladder.,1619831,Federal,No
9/1/2022,Las Vegas,NV,Jared Saunders (45) electrocuted while stripping wiring.,1619577,State,Yes
9/1/2022,Malibu,CA,Isidro Soria (47) died in fall from tree.,1623834,State,No
8/31/2022,Mableton,GA,Jack Cardin (66) died in fall through skylight.,1618845,Federal,No
8/31/2022,Santa Fe Springs,CA,Jose Antonio Arciniega (23) fatally crushed between two shipping containers.,1620994,State,No
8/30/2022,Alexandria,VA,Rosalio Efquivel-Ramirez (29) died in fall from roof.,1618341,State,Yes
8/30/2022,Bennettsville,SC,Phillip Green (56) fatally injured by rotating lathe.,1619433,State,No
8/30/2022,Smyrna,TN,Nicholas Patterson (34) fatally shot by robber.,1618374,State,No
8/29/2022,Great Neck,NY,David Malgarejo (44) died in fall through floor hole.,1648829,Federal,Yes
8/29/2022,La Verne,CA,Jichun Wang (64) fatally crushed by forklift.,1618626,State,No
8/29/2022,Lafayette,CO,Salvador Rodriguez Calderon (53) fatally struck by concrete manhole barrel.,1618080,Federal,No
8/29/2022,Magnolia,TX,Yobani Urizar (19) drowned in retention pond.,1618243,Federal,No
8/27/2022,Fort Payne,AL,Victoria Maldonado (70) fatally struck by camera-mounting bar.,1618084,Federal,Yes
8/26/2022,Houston,TX,Eddrick Penton (30) fatally struck by porcelain slabs.,1617827,Federal,Yes
8/25/2022,Bacliff,TX,Juan Perez (24) electrocuted by residential condensing unit.,1617627,Federal,Yes
8/25/2022,Columbus,IN,Luis Marquez (42) fatally injured by saw.,1617232,State,Yes
8/25/2022,Miami,FL,Kevin Rene Cabrera (27) elecrocuted by oven.,1620434,Federal,No
8/25/2022,Plaquemine,LA,Darwin James (24) fatally struck by rail car.,1617600,Federal,Yes
8/25/2022,Wellington,NV,Christian Hernandez (22) died from bee sting.,1618245,State,Yes
8/24/2022,Boulder Creek,CA,Jorge Soria (47) fatally struck by falling tree.,1617563,State,No
8/24/2022,Brooklyn,NY,Osman Murati (50) died in fall from roof.,1617048,Federal,Yes
8/24/2022,Kansas City,MO,Devin Darby (24) electrocuted while servicing air handler.,1617003,Federal,Yes
8/24/2022,Palo Alto,CA,Christopher Smith (43) died in fall from scaffolding.,1616846,State,No
8/24/2022,Salem,OR,Doroteo Acevedo (56) fatally injured in vehicle collision.,1626353,State,No
8/24/2022,Swanzey,NH,Michael Knicely (59) electrocuted while servicing switch gear.,1617421,Federal,Yes
8/24/2022,Winters,TX,Joshua Schulze (35) electocuted by contact with power line.,1618068,Federal,No
8/23/2022,Huntington Station,NY,Edis Maldonado (40) died in fall from bucket truck.,1616602,Federal,Yes
8/22/2022,Canton,OH,Ray Sullivan (35) died from exposure to hydrogen sulfide.,1616255,Federal,Yes
8/22/2022,Doral,FL,Jose Valerio (55) fatally stuck by falling steel coils.,1616309,Federal,Yes
8/22/2022,Fowlerville,MI,Nicholas Luoma (31) fatally crushed by falling bag.,1616429,State,No
8/22/2022,Garden Grove,CA,Juan Perez (27) died in fall through skylight.,1616572,State,No
8/22/2022,Greensboro,NC,Thomas Stott (20) electrocuted while rewiring bathroom.,1616622,State,Yes
8/22/2022,San Perlita,TX,Craig Adams (49) suffered fatal injury after tripping and striking truck.,1616748,Federal,No
8/21/2022,Interlachen,FL,Pamela Rock (61) fatally attacked by dogs.,1616540,Federal,No
8/20/2022,West End,NC,James McKenzie (26) fatally struck by falling branch.,1616620,State,Yes
8/19/2022,Canton,OH,Joseph Ferrall (34) fatally injured in furnace explosion.,1610722,Federal,Yes
8/19/2022,Kenosha,WI,Javier Zuniga Esparza (34) drowned when mower sank in pond.,1616479,Federal,Yes
8/18/2022,Grants Pass,OR,Logan Harrison Taylor (25) fatally struck by falling tree.,1616649,State,No
8/17/2022,Dublin,GA,Stephen Rogers (32) fatally struck by ejected tire wheel.,1615778,Federal,No
8/17/2022,Tallahassee,FL,Manuel Ramirez (31) died in fall from roof truss.,1615800,Federal,Yes
8/16/2022,Cecil,AL,Jose Prado (23) fatally crushed btween truck and cable.,1615304,Federal,Yes
8/16/2022,Mount Pleasant,MI,William Lorenz (62) died in fall from ladder.,1626231,State,No
8/16/2022,North Las Vegas,NV,Yousef Amjad (64) died in fall from ladder.,1626033,State,No
8/16/2022,Raleigh,NC,Naomi Carroll (56) died from asthma attack induced during pepper spray training.,1616053,State,No
8/16/2022,Woodstock,MD,Ubaldino Calderon (60) died in fall from roof.,1615071,State,Yes
8/15/2022,Bellingham,MA,Robert Dumas (55) died in fall from ladder.,1614635,Federal,No
8/15/2022,Hammonton,NJ,Earl Brown (62) fatally injured in fall on concrete floor.,1616150,Federal,No
8/12/2022,Prosper,TX,Clifford Haney (45) died in fall from attic.,1615489,Federal,No
8/12/2022,Spring Valley,CA,Rafel Chavez (46) fatally struck by vehicle.,1622738,State,No
8/12/2022,Tipton,IN,Ellion Sullivan (38) fatally struck by flying machine bar.,1614418,State,Yes
8/11/2022,Ashland,MS,Mark Anderson (61) fatally crushed when truck slipped from jack.,1615310,Federal,Yes
8/11/2022,Halfmoon,NY,James Bova II (38) fatally struck by falling tree limb.,1615120,Federal,Yes
8/11/2022,Leoti,KS,Jesse West (29) fatally engulfed by soy meal inside railcar.,1614004,Federal,Yes
8/11/2022,Millington,TN,Michael Nowlin (49) electrocuted while installing transformer.,1615803,State,Yes
8/11/2022,Springdale,OH,Paris Dismukes (32) fatally stabbed by coworker.,1614896,Federal,No
8/11/2022,West Seneca,NY,Jose Lao (27) fatally crushed when forklift overturned.,1613988,Federal,Yes
8/10/2022,Diamond Lake,OR,Collin Hagan (27) fatally struck by falling tree.,1614603,Federal,Yes
8/10/2022,Spring Mills,PA,Alexander J. Fries (19) electrocuted when bucket lift contacted power line.,1614382,Federal,Yes
8/9/2022,Jim Thorpe,PA,Nolan Wernett (66) fatally struck by falling tree.,1614494,Federal,No
8/9/2022,Quinby,SC,Sara Kinsy Weaver (32) fatally struck by motor vehicle.,1613801,State,No
8/8/2022,Queen Creek,AZ,Daniel Newman (30) fatally struck by excavator.,1617036,State,No
8/8/2022,San Angelo,TX,Christopher Strickland (31) died of heat stroke.,1614019,Federal,Yes
8/8/2022,South Beloit,IL,Percy Bolanoscuellar (44) fatally crushed by die cast machine.,1614312,Federal,Yes
8/7/2022,Convent,LA,Earnest Brown (61) died in fall down cargo hold.,1643885,Federal,No
8/7/2022,Wilmington,OH,Timothy Law (55) fatally engulfed in fire suppression foam.,1613102,Federal,Yes
8/5/2022,Center Line,MI,William Kyle (59) fatally crushed by cardboard bale.,1615121,State,No
8/5/2022,De Pere,WI,Christopher Bridges (24) fatally crushed by HVAC component.,1612773,Federal,Yes
8/5/2022,Whitehall,OH,Don McClain (59) fatally struck by pressure vessel lid.,1614963,Federal,Yes
8/4/2022,Atlanta,GA,Dahlaia Roberts (60) fatally shot by resident.,1614302,Federal,Yes
8/4/2022,Bentonia,MS,Luke Walker (25) fatally injured in welding explosion.,1611474,Federal,Yes
8/4/2022,Clifton Springs,NY,Steven Straight (68) died when tractor verturned.,1612742,Federal,Yes
8/4/2022,Elmhurst,IL,Jerzy Pieloch (67) died in fall from scaffold.,1614257,Federal,No
8/4/2022,Kingman,KS,Devian Buckles (27) fatally injured by bagging machine.,1616608,Federal,No
8/4/2022,Kingman,KS,Devien Buckles (27) fatally injured after being pulled into bagging machine.,1612869,Federal,Yes
8/4/2022,Mobile,AL,Bill Atkinson (67) fatally struck by bucket loader.,1610004,Federal,Yes
8/4/2022,Somerset,PA,Dylan Corey (31) fatally struck by motor vehcle.,1614315,Federal,Yes
8/4/2022,Southampton,NY,Greg Piediscalzo (25) electrocuted while installing lighting.,1613011,Federal,Yes
8/4/2022,Waterloo,IN,Kevin Luke Rodgers (24) died in fall from roof.,1613907,State,No
8/4/2022,Waterloo,IN,Kevin Rogers (24) died in fall from roof.,1612804,State,Yes
8/3/2022,Cypress,TX,Michael Neiser (60) fatally injured in fall on working surface.,1627332,Federal,No
8/3/2022,Gunnison,CO,James Tafoya (40) fatally struck by saw.,1613010,Federal,Yes
8/3/2022,Tonawanda,NY,James Bognar Sr (73) electrocuted when boat lift contacted power line.,1612387,Federal,Yes
8/2/2022,Danbury,CT,Edwin Ordonez (28) died in fall from scaffold.,1612488,Federal,Yes
8/2/2022,Ellenwood,GA,James Nolan Suttles (44) electrocuted when boom contacted power line.,1612769,Federal,Yes
8/2/2022,Pace,FL,Anthony Hill (57) fatally struck by excavator bucket.,1611939,Federal,Yes
8/2/2022,Plymouth,MI,Derek Sinutko (47) died in fall from ladder.,1614090,State,No
8/2/2022,Springfield,OH,David White (65) died in fall from ladder.,1617160,Federal,Yes
8/1/2022,Acampo,CA,Mark Clinkenbeard (56) fatally injured after becoming caught in conveyor belt.,1612392,State,No
8/1/2022,Atlanta,GA,Alejandro Aragona Silva (47) fatally crushed between truck and loading dock.,1613355,Federal,No
8/1/2022,Brooklyn,NY,Matthew J. Webb (23) fatally shot.,1612019,Federal,Yes
8/1/2022,Dudley,NC,Matthew Fishman (38) fatally shot while serving involuntary commitment order.,1612199,State,No
8/1/2022,Rye,NY,Oscar Velasquez (52) died in fall from stepladder.,1611665,Federal,Yes
7/30/2022,Durham,NC,Chris Wright (46) died in fall down embankment.,1611863,State,Yes
7/30/2022,Wichita Falls,TX,Kimberly Wright (31) ftally struck by forklift.,1614655,Federal,No
7/29/2022,Gettysburg,PA,Jose Antonio Rojas-Flores (53) died in building collapse.,1611938,Federal,Yes
7/29/2022,Houston,TX,Anthony Pinson (45) fatally burned in trailer fire.,1611254,Federal,No
7/29/2022,Klamath Falls,OR,Spencer Hughes (32) fatally struck by vehicle.,1626073,State,No
7/29/2022,Midway Park,NC,Juan Jose Antonio Morales Franco (18) died of heat stroke.,1611357,Federal,Yes
7/29/2022,New Orleans,LA,Dennis Ramirez (36) died in fall through roof.,1611645,Federal,No
7/29/2022,Winder,GA,Herbert Daniel (62) died in fall from ladder.,1612318,Federal,No
7/28/2022,El Paso,TX,Jose Lomas (41) died in fall through roof.,1611477,Federal,Yes
7/28/2022,Hendersonville,TN,Ceasar Agosto Lopez-Segastume (58),1625931,State,Yes
7/28/2022,Lebanon,NH,Eric Poitras (61) died in fall from building roof.,1611092,Federal,Yes
7/27/2022,Austin,TX,Thomas Russell (37) fatally crushed by bowling pin setter machine.,1611223,Federal,Yes
7/27/2022,Chesaning,MI,Rafe Deal (18) died in vehicle collision.,1611946,State,No
7/27/2022,Somerset,PA,Thomas Hoket (26) fatally crushed between truck and tow truck.,1612520,Federal,No
7/27/2022,West Des Moines,IA,Jose Diaz (56) died in fall from parapet.,1610864,State,Yes
7/27/2022,York,PA,Joseph W. Kelly (59) fatally struck by bulldozer.,1610669,Federal,Yes
7/26/2022,Birmingham,AL,Joshua Westmoreland (27) died in fall through skylight.,1614819,Federal,Yes
7/26/2022,Columbus,OH,Arlis Clark (33) fatally crushed by trench box.,1610550,Federal,Yes
7/26/2022,Crystal,ND,Mark Segert (62) fatally crushed when lawn mower overtured.,1612098,Federal,Yes
7/26/2022,Dallas,TX,Antonio Sosa (46) electrocuted by lumber saw.,1610923,Federal,Yes
7/26/2022,Long Island City,NY,Armando Ruano (49) fatally struck by falling pallet.,1612863,Federal,No
7/26/2022,Middletown,OH,Wesley Thomas Blanton (46) fatally crushed by coil machine.,1610266,Federal,Yes
7/26/2022,Wellsburg,WV,Daniel Morris Jr. (42) fatally injured after becoming caught in rotating machine shaft.,1611140,Federal,Yes
7/25/2022,Jamestown,TN,Kevin Leigh (70) fatally injured when excavator overturned.,1610411,State,Yes
7/24/2022,Grannis,AR,Kaitlin Loredo (23) died in fall from ladder.,1610057,Federal,Yes
7/24/2022,Miami Beach,FL,Alejandro M. Lopez (22) electrocuted when pole saw contacted power line.,1611215,Federal,Yes
7/24/2022,Robbinsville,NJ,Rodger Boland (58) died in fall from step ladder.,1610745,Federal,No
7/23/2022,Council,NC,Terry Smith (47) fatally injured in fall.,1612193,State,No
7/23/2022,Lakeland,FL,Charles Johnson (60) fatally struck by tree limb.,1610294,Federal,No
7/23/2022,Rison,AR,Alejandro Morales Navarrete Jr. (18) fatally struck by forklift.,1609795,Federal,Yes
7/23/2022,Rockwall,TX,Juan Fernando Ferrusca Mata (69) died in fall from scaffold.,1623414,Federal,No
7/22/2022,Chicago,IL,Jose Hernandez (30) fatally shot by customer.,1610014,Federal,No
7/22/2022,Coventry,CT,Dennis F. Slater (56) died in trench collapse.,1609791,Federal,Yes
7/22/2022,Lithonia,GA,Abimael Ortiz Robles (32) fatally struck by falling tree.,1609736,Federal,Yes
7/21/2022,Downingtown,PA,Ronann Rodrigues De Oliviera (25) fatally struck by falling roof truss.,1609733,Federal,Yes
7/21/2022,Goodman,MS,Samuel Sollberger (29) electrocuted while installing washing machine.,1609992,Federal,Yes
7/21/2022,Rochester,NY,Anthony Mazurkiewicz (54) fatally shot.,1610138,State,No
7/21/2022,Warrensburg,MO,Burnie Jordan (55) fatally injured in fall from truck.,1609977,Federal,No
7/20/2022,Birmingham,AL,Felicia Grant-Bailey (50) asphyiated from carbon dioxide exposure inside closed vehicle containing dry ice.,1617504,Federal,Yes
7/20/2022,Branson,MO,Joshua Outhouse (32) fatally struck by roller coaster car.,1609881,Federal,Yes
7/20/2022,Canon City,CO,Russell Larsen (28) fatlly struck by falling tree branch.,1613612,Federal,No
7/20/2022,New York,NY,Thomas Tylutki (40) died in fall from ladder after receiving electric shock.,1610823,Federal,Yes
7/20/2022,Palmyra,WI,Steven Alvarado (64) died in fall from scaffold.,1609129,Federal,Yes
7/20/2022,Panama City,FL,Jose Molina (42) died in fall down elevator shaft.,1611840,Federal,Yes
7/19/2022,East Saint Louis,IL,Jared Martin (33) fatally burned by torch.,1611410,Federal,No
7/19/2022,Elk River,MN,Jonathan Arent (72) died in fall from boom lift.,1610362,State,No
7/19/2022,Orange Park,FL,Ralph Moore (61) died in fall from trailer.,1609236,Federal,No
7/19/2022,Somerville,AL,Tim Woodall (57) fatally struck by cutter head.,1608819,Federal,Yes
7/19/2022,White Earth,ND,Guillermo Gutierrez (62) fatally struck by excavator.,1609632,Federal,No
7/18/2022,Durham,NC,Donald Lee Bray (47) fatally crushed by trailer.,1609402,State,No
7/18/2022,Fairchild,WI,Daniel Gingerich (54) fatally struck by falling log.,1608929,Federal,No
7/18/2022,Round Rock,TX,Robert Billingsley (51) electrocuted while replacing ice machine.,1608573,Federal,Yes
7/17/2022,North Charleston,SC,Claudio Munoz Bustos (63) died in fall down smoke stack.,1608379,Federal,Yes
7/16/2022,Blacksburg,VA,Gustavo Moreno Lopez (19) died in fall through window opening.,1608346,State,No
7/16/2022,Chicago,IL,Stanley Hinton (70) electrocuted by train rail.,1608350,State,Yes
7/16/2022,Henderson,NY,Matthew Bondellio Senior (56) fatally crushed by rolling trailer.,1608380,Federal,Yes
7/16/2022,Quincy,IL,Kareem Rayford (32) electrocuted by fan.,1608626,Federal,Yes
7/15/2022,Chesterfield,MI,Michael Bernard Frontera (53) fatally struck by bulldozer.,1608530,State,No
7/15/2022,Crosby,TX,Darrick Traywick (29) fatally struck by falling tree.,1608563,Federal,Yes
7/15/2022,Deming,NM,Amanda Wertz (19) drowned in pool.,1608622,State,Yes
7/14/2022,Ramona,CA,Alexander Mejia (30) died in fall through skylight.,1608146,State,No
7/14/2022,Troy,MI,Alvaro Soffia (44) fatally crushed under wood chipper.,1608580,State,No
7/13/2022,Cincinnati,OH,Charles Vitt (29) fatally struck by forklift.,1607417,Federal,Yes
7/13/2022,Deland,FL,Sergio Villegas (43) fatally struck by trailer.,1618833,Federal,Yes
7/13/2022,Elkton,MD,Kevin Cline (38) fatally struck by arm of skid loader.,1607615,State,Yes
7/13/2022,Guayama,PR,Jeremy Felicie Ruiz (21) fatally struck by scaffold.,1608070,State,No
7/13/2022,Newark,NJ,Urial Matamoros (59) fatally injured in loading machine rollover.,1607380,Federal,No
7/12/2022,Houston,TX,Gerson Chavez-Ramirez (25) fatally crushed by falling vehicle.,1607807,Federal,Yes
7/12/2022,Santa Fe Springs,CA,Carlos Gonzales (70) died in fall from step stool.,1608159,State,No
7/11/2022,Brea,CA,Matthew Hirsch (40) fatally shot during robbery.,1607878,State,No
7/11/2022,Glenmora,LA,Kaylen Gehrke (24) died from heat-related illness.,1607231,Federal,Yes
7/11/2022,Opelika,AL,Kyle McGuire (35) fatally struck by motor vehicle.,1607320,Federal,No
7/11/2022,Stockton,CA,Matthew Santiago (23) fatally injured by falling pipes.,1609353,State,Yes
